Mã số sinh viên;Họ;Tên;Lớp;Điểm
N23DCCN075;Lý Thị;Cúc;D23CQQT01-N;6
N23DCCN076;Trịnh Quốc;Đạt;D23CQCN01-N;5.5
N23DCCN077;Tô Minh;Tuấn;D23CQCN02-N;8.75
N23DCCN078;Lê Thị;Hồng;D23CQCN03-N;9.25
N23DCCN079;Nguyễn Hồng;Hạnh;D23CQDT01-N;7.25
N23DCCN080;Võ Hoàng;Long;D23CQQT01-N;3.5
N23DCCN081;Đặng Văn;Thắng;D23CQCN01-N;6
N23DCCN082;Hoàng Thị;Yến;D23CQCN02-N;7.75
N23DCCN083;Nguyễn Đức;Thịnh;D23CQCN03-N;9.5
N23DCCN084;Trần Thị;Như;D23CQDT01-N;4.5
N23DCCN085;Phạm Minh;Khoa;D23CQQT01-N;6.75
N23DCCN086;Ngô Thị;Huyền;D23CQCN01-N;8.25
N23DCCN087;Đoàn Văn;Phú;D23CQCN02-N;5.75
N23DCCN088;Bùi Thị;Thanh;D23CQCN03-N;7
N23DCCN089;Nguyễn Văn;Trường;D23CQDT01-N;6.25
N23DCCN090;Lê Hoàng;Nam;D23CQQT01-N;5.5
N23DCCN091;Tăng Thị;Ngọc;D23CQCN01-N;9
N23DCCN092;Phan Văn;Tiệp;D23CQCN02-N;7.25
N23DCCN093;Nguyễn Thị;Tâm;D23CQCN03-N;6
N23DCCN094;Trần Văn;Giang;D23CQDT01-N;8.25
N23DCCN095;Đặng Hoàng;Phúc;D23CQQT01-N;3.75
N23DCCN096;Tô Quang;Hào;D23CQCN01-N;7.5
N23DCCN097;Nguyễn Thị;Quỳnh;D23CQCN02-N;4
N23DCCN098;Lê Thanh;Phong;D23CQCN03-N;6.5
N23DCCN099;Bùi Văn;Khánh;D23CQDT01-N;9.25
N23DCCN100;Đỗ Thị;Lan;D23CQQT01-N;7
N23DCCN101;Nguyễn Thị;Kim;D23CQCN01-N;7.75
N23DCCN102;Trần Văn;Khoa;D23CQCN02-N;6.25
N23DCCN103;Phạm Minh;Tú;D23CQCN03-N;8.5
N23DCCN104;Lê Thị;Thắm;D23CQDT01-N;5
N23DCCN105;Đặng Văn;Đức;D23CQQT01-N;4.25
N23DCCN106;Ngô Thị;Phượng;D23CQCN01-N;9.5
N23DCCN107;Bùi Hữu;Khánh;D23CQCN02-N;6.5
N23DCCN108;Tô Thị;Thảo;D23CQCN03-N;7.25
N23DCCN109;Nguyễn Hoàng;Linh;D23CQDT01-N;5.75
N23DCCN110;Lý Văn;Trọng;D23CQQT01-N;8
N23DCCN111;Phan Thị;Như;D23CQCN01-N;9.25
N23DCCN112;Trịnh Văn;Lộc;D23CQCN02-N;4
N23DCCN113;Đỗ Thị;Thúy;D23CQCN03-N;6.75
N23DCCN114;Lê Quang;Hải;D23CQDT01-N;7.5
N23DCCN115;Nguyễn Hữu;Sang;D23CQQT01-N;8.5
N23DCCN116;Tăng Văn;Cường;D23CQCN01-N;6
N23DCCN117;Đoàn Thị;Diễm;D23CQCN02-N;5.5
N23DCCN118;Vũ Văn;Phát;D23CQCN03-N;9
N23DCCN119;Hoàng Thị;Yến;D23CQDT01-N;7.25
N23DCCN120;Phạm Văn;Thái;D23CQQT01-N;3.5
N23DCCN121;Nguyễn Văn;Dũng;D23CQCN01-N;4.75
N23DCCN122;Lê Thị;Tươi;D23CQCN02-N;8
N23DCCN123;Tô Thị;Kim;D23CQCN03-N;6.25
N23DCCN124;Phan Văn;Sơn;D23CQDT01-N;7
N23DCCN125;Trần Thị;Mai;D23CQQT01-N;5.25
N23DCCN126;Ngô Văn;Tình;D23CQCN01-N;9.75
N23DCCN127;Võ Thị;Bích;D23CQCN02-N;6.5
N23DCCN128;Nguyễn Quốc;Hưng;D23CQCN03-N;4.5
N23DCCN129;Bùi Thị;Dung;D23CQDT01-N;8.75
N23DCCN130;Lý Hồng;Quân;D23CQQT01-N;7.5
N23DCCN131;Đinh Văn;Thành;D23CQCN01-N;6.75
N23DCCN132;Phạm Thị;Lan;D23CQCN02-N;4
N23DCCN133;Tăng Văn;Tấn;D23CQCN03-N;8.25
N23DCCN134;Lê Văn;Quý;D23CQDT01-N;6.25
N23DCCN135;Trịnh Thị;Hòa;D23CQQT01-N;5
N23DCCN136;Nguyễn Văn;Bình;D23CQCN01-N;7.5
N23DCCN137;Vũ Thị;Oanh;D23CQCN02-N;9.25
N23DCCN138;Đoàn Văn;Sĩ;D23CQCN03-N;6
N23DCCN139;Tô Thị;Vân;D23CQDT01-N;7
N23DCCN140;Lê Trung;Kiên;D23CQQT01-N;4.75
N23DCCN141;Ngô Minh;Thịnh;D23CQCN01-N;6.5
N23DCCN142;Trần Thị;Tuyết;D23CQCN02-N;9
N23DCCN143;Phan Hoàng;Anh;D23CQCN03-N;5.25
N23DCCN144;Đặng Thị;Trang;D23CQDT01-N;7.75
N23DCCN145;Nguyễn Quang;Hà;D23CQQT01-N;8.25
N23DCCN146;Tô Minh;Tuệ;D23CQCN01-N;4
N23DCCN147;Lý Văn;Nam;D23CQCN02-N;6.25
N23DCCN148;Hoàng Thị;Nhi;D23CQCN03-N;7.5
N23DCCN149;Trần Văn;Bảo;D23CQDT01-N;5.5
N23DCCN150;Đỗ Thị;Hương;D23CQQT01-N;8.5
