Mã số sinh viên;Họ;Tên;Lớp;Ðiểm
N23DCCN456;Hoàng Vũ Hồng;Quân;D23CQCN18-N;7.1
N23DCDK147;Hoàng Vũ Hồng;Quân;D23CQDK10-N;6.7
N22DCCN951;Phan Khánh;Linh;D22CQCN10-N;8.5
N23DCCN951;Phan Khánh;Linh;D23CQCN19-N;8.2
N21DCCN852;Hạ Thiên;Lam;D21CQCN11-N;7.6
N22DCDK753;Huỳnh Thị Tuyết;Mai;D22CQDK11-N;7.6
N21DCCN654;Lê Thị;Phương;D21CQCN12-N;6.4
N22DCDK456;Phạm Văn;Huy;D22CQDK12-N;6.4
N23DCCN258;Trần Ðức;Minh;D23CQCN20-N;9.7
N21DCAT147;Lý Hoàng Thanh;Hà;D21CQAT01-N;3.6
N23DCDK753;Bùi Văn;Nam;D23CQDK13-N;6.8
N21DCCN159;Nguyễn Văn;An;D21CQCN13-N;7.3
N21DCCN111;Phạm Minh;Tuấn;D21CQCN01-N;7.1
N22DCCN222;Trần Ngọc;Lan;D22CQCN02-N;8.0
N23DCCN853;Lê Thị;Hương;D23CQCN03-N;7.8
N21DCDK444;Hoàng Văn;Quân;D21CQDK01-N;6.9
N23DCCN555;Phan Hữu;Bảo;D23CQCN10-N;8.1
N22DCDK555;Phạm Thị;Mai;D22CQDK02-N;7.3
N23DCAT666;Bùi Quốc;Hùng;D23CQAT01-N;8.5
N21DCCN777;Nguyễn Thị;Hạnh;D21CQCN04-N;7.0
N22DCCN888;Lê Văn;Dũng;D22CQCN05-N;7.9
N23DCCN200;Nguyễn Thu;Ánh;D23CQCN01-N;7.0
N23DCAT201;Trần Chân;Ái;D23CQAT01-N;8.0
N22DCDK202;Lê Ðặng Tú;Ân;D22CQDK01-N;6.5
N21DCCN203;Phạm Văn;Âu;D21CQCN01-N;7.8
N23DCAT303;Lê Thị;Hương;D23CQAT02-N;7.2
N21DCCN404;Hoàng Văn;Quân;D21CQCN07-N;7.6
N22DCCN505;Lê Khánh;Ngọc;D22CQCN08-N;6.8
N23DCCN606;Đặng Văn;Hùng;D23CQCN09-N;8.3
N21DCCN707;Nguyễn Thu;Hành;D21CQCN10-N;7.5
N22DCCN808;Lê Văn;Dũng;D22CQCN11-N;6.9
N23DCCN909;Trần Thị;Thu;D23CQCN12-N;7.1
N21DCDK111;Phạm Minh;Tuấn;D21CQDK05-N;7.2
N22DCDK222;Trần;Lan;D22CQDK06-N;8.4
N23DCAT333;Lê Thị;Thương;D23CQAT03-N;7.3
N21DCCN444;Hoàng;Quân;D21CQCN13-N;7.0
N22DCCN555;Phạm Thị;Mai;D22CQCN14-N;7.7
N23DCCN666;Ðặng Văn;Hùng;D23CQCN15-N;8.0
N21DCCN017;Nguyễn Thị;Hạnh;D21CQCN16-N;6.6
N22DCCN252;Lê;Dũng;D22CQCN17-N;7.8
N23DCCN367;Trần;Thu;D23CQCN18-N;7.2
N21DCDK121;Phạm Minh;Tuấn;D21CQDK07-N;7.4
N22DCDK232;Trần Ngọc;Lan;D22CQDK08-N;8.1
N23DCAT343;Lê Thái;Hưng;D23CQAT04-N;7.0
N21DCCN454;Hoàng Ðức;An;D21CQCN19-N;6.9
N22DCCN565;Ðào Thu;Mai;D22CQCN20-N;7.3
N23DCCN676;Ðặng Việt;Hùng;D23CQCN21-N;8.5
N23DCCN204;Nguyễn Văn;Tâm;D23CQCN01-N;0
N23DCAT205;Trần Thị;Ngọc;D23CQAT01-N;3.75
N22DCDK206;Lê Văn;Hùng;D22CQDK01-N;4.99
N21DCCN207;Phạm Thị;Linh;D21CQCN01-N;5
N23DCCN208;Ðặng Văn;Khang;D23CQCN02-N;9.99
N22DCAT209;Hoàng Thị;Mai;D22CQAT01-N;10
N23DCAT353;Lê Thị;Hương;D23CQAT05-N;7.8
N21DCCN464;Hoàng Văn;Quân;D21CQCN25-N;7.5
N22DCCN575;Phạm Thị;Mai;D22CQCN26-N;7.0
N23DCCN686;Ðặng Văn;Hùng;D23CQCN27-N;8.1
N21DCCN797;Nguyễn Thị;Hạnh;D21CQCN28-N;6.9
N22DCCN478;Lê Văn;Dũng;D22CQCN29-N;7.4
N23DCCN919;Trần Thị;Thu;D23CQCN30-N;7.3
N22DCCN100;Nguyễn Kim Hải;Long;D22CQCN01-N;7.5
N22DCCN101;Trần Thị;Hiền;D22CQCN01-N;7.5
N22DCCN102;Lê Văn;Phúc;D22CQCN01-N;7.5
